id,imdb_id,title,tagline,overview,poster_path,backdrop_path,release_date,vote_average,vote_count,genres,budget,revenue,runtime,rating_band
96936,tt2132285,The Bling Ring,"Living the dream, one heist at a time.","Inspired by actual events, a group of fame-obsessed teenagers use the Internet to track celebrities' whereabouts in order to rob their homes.",/6yh55qCcdgPRJweDWM2CiEubJCL.jpg,/ouN0GyE7mtIT6wyJeilaggyvgNj.jpg,2013-06-12,5.4,3132,"['Drama', 'Crime']",15000000,19145732,90,low
4258,tt0795461,Scary Movie 5,Evil is coming. Bring protection.,"Home with their newly-formed family, happy parents Dan and Jody are haunted by sinister, paranormal activities. Determined to expel the insidious force, they install security cameras and discover their family is being stalked by an evil dead demon.",/vBqLLxE6GaAPhO6v9EFvFbLZ7Ap.jpg,/2eW8VlLXjUq4OKk8SYf5KTr91Kv.jpg,2013-04-11,4.791,2993,['Comedy'],20000000,78613981,88,low
889737,tt11315808,Joker: Folie à Deux,The world is a stage.,"While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him.",/aciP8Km0waTLXEYf5ybFK5CSUxl.jpg,/AVWlQpVhpudyFsSh3OQIieHHYf.jpg,2024-10-01,5.4,2867,"['Drama', 'Crime', 'Thriller']",190000000,207500287,138,low
535581,tt8695030,The Dead Don't Die,The greatest zombie cast ever disassembled.,"In the sleepy town of Centerville, the lives of a number of interconnected characters are disrupted by the undead.",/ndvOjo7Nfk8ULnFLMXthPzhI62L.jpg,/cXyfAViYly0Lk2CVpEKgYbt9wKQ.jpg,2019-05-15,5.43,2825,"['Comedy', 'Horror']",11000000,15325468,104,low
242512,tt1204977,Ouija,Keep telling yourself it's just a game.,A group of friends must confront their most terrifying fears when they awaken the dark powers of an ancient spirit board.,/gwjHlGjK2xXKpjd65BWyAMwzTWC.jpg,/fsuA3wUYixjLeE97CyyPGdPoQF3.jpg,2014-10-24,5.134,2764,['Horror'],5000000,103600000,89,low
14560,tt1114740,Paul Blart: Mall Cop,Safety Never Takes A Holiday.,"When a shopping mall is taken over by a gang of organized crooks, it's up to a mild-mannered security guard to save the day.",/A4zZv0Q1VKURFZFEl2vwjaE2q0g.jpg,/quShFVPwIOYKTEdQh8VB1xwSdTe.jpg,2009-01-15,5.446,2701,"['Action', 'Adventure', 'Comedy', 'Family']",26000000,183293131,91,low
9947,tt0357277,Elektra,Looks CAN kill.,"Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins.",/gC6s6NKHneSrOKyQZnUMb443RKU.jpg,/rLMQvYhl6DU6QZVNcJTbs87gVPs.jpg,2005-01-13,5.047,2634,"['Action', 'Fantasy', 'Adventure']",43000000,56681566,97,low
14564,tt0498381,Rings,First you watch it. Then you die.,"Julia becomes worried about her boyfriend Holt when he explores the dark urban legend of a mysterious videotape said to kill the watcher seven days after viewing. She sacrifices herself to save her boyfriend and in doing so makes a horrifying discovery: there is a ""movie within the movie"" that no one has ever seen before.",/yp4CDOVpVmNwiPoZKQeFCpW8CFo.jpg,/a4r8xcRwTgKIUKdWtxFXyxTZLeN.jpg,2017-02-01,5.015,2595,['Horror'],25000000,83080890,102,low
634492,tt11057302,Madame Web,Her web connects them all.,"Forced to confront revelations about her past, paramedic Cassandra Webb forges a relationship with three young women destined for powerful futures...if they can all survive a deadly present.",/rULWuutDcN5NvtiZi4FRPzRYWSh.jpg,/pwGmXVKUgKN13psUjlhC9zBcq1o.jpg,2024-02-14,5.301,2527,"['Action', 'Fantasy']",80000000,100498764,117,low
38745,tt1320261,Gulliver's Travels,Black is the new big.,"Travel writer Lemuel Gulliver takes an assignment in Bermuda, but ends up on the island of Liliput, where he towers over its tiny citizens.",/6NoEtuTwZ04luk5H2DpT5ivW7Mg.jpg,/1EnX8qIJUYv6mG0Asub6Om8158z.jpg,2010-12-23,5.215,2526,"['Family', 'Comedy', 'Adventure', 'Fantasy']",112000000,237382724,85,low
