id,imdb_id,title,tagline,overview,poster_path,backdrop_path,release_date,vote_average,vote_count,genres,budget,revenue,runtime
15804,tt0101985,A Brighter Summer Day,,"A boy experiences first love, friendships and injustices growing up in 1960s Taiwan.",/rDZ2mNQkZrnSzHPLQ7SzhzgCSoj.jpg,/2LMgkmtnmhjUHvFXNDruHzrUFKK.jpg,1991-07-27,8.3,363,"['Crime', 'Drama', 'Romance']",0,0,237
652837,tt12879624,"Josee, the Tiger and the Fish",Together they can fly.,"With dreams of diving abroad, Tsuneo gets a job assisting Josee, an artist whose imagination takes her far beyond her wheelchair. But when the tide turns against them, they push each other to places they never thought possible, and inspire a love fit for a storybook.",/z1D8xi9x4uEhyFruo7uEHXUMD4K.jpg,/nVsDAvaMMwComtLBuRIzclGUcXF.jpg,2020-12-25,8.3,550,"['Animation', 'Drama', 'Romance']",0,0,98
533514,tt8652818,Violet Evergarden: The Movie,,"As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.",/4b7uAGVtgA85Yd911yOJqIsHigx.jpg,/wGwSWDG3LIQxchg2M8HV7bDqYKU.jpg,2020-09-18,8.294,466,"['Animation', 'Fantasy', 'Romance', 'Drama']",0,20339624,140
599,tt0043014,Sunset Boulevard,A Hollywood Story.,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,/oOZIN0sbRNLKQC4RRCQnmAx1PlV.jpg,/p47ihFj4A7EpBjmPHdTj4ipyq1S.jpg,1950-08-10,8.287,2795,['Drama'],1752000,5000000,110
914,tt0032553,The Great Dictator,Once again - the whole world laughs!,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,/nhMXB8GTdswYMCL9nepDZymJCOr.jpg,/c8Pi8F1FzpNebtgXcSjC9nWCdSW.jpg,1940-10-15,8.288,3566,"['Comedy', 'War']",2000000,11000000,125
644479,tt5869370,Dedicated to my ex,,"The film tells the story of Ariel, a 21-year-old who decides to form a rock band to compete for a prize of ten thousand dollars in a musical band contest, this as a last option when trying to get money to save their relationship and reunite with his ex-girlfriend, which breaks due to the trip she must make to Finland for an internship. Ariel with her friend Ortega, decides to make a casting to find the other members of the band, although they do not know nothing about music, thus forming a band with members that have diverse and opposite personalities.",/xc4bTXVwYNXi10jG9dwcaYt5IpU.jpg,/1fOsyhVz5qyX2rl1qqX6KImVhTx.jpg,2019-11-01,8.3,513,"['Drama', 'Comedy']",0,1315376,94
1139087,tt28035641,Once Upon a Studio,100 years of Disney magic comes together.,"Created for Disney's 100th anniversary, the short features Mickey Mouse corralling a gallery of legendary Disney characters for a group photo.",/aiy3G1cYWV3LgKZHY6a3jL8bjYL.jpg,/hUeSuUxNyQivx2wrRvGoyZiZDUu.jpg,2023-09-24,8.285,407,"['Animation', 'Family', 'Fantasy', 'Comedy']",0,0,9
42269,tt0075793,We All Loved Each Other So Much,A many splendored thing.,"Three partisans bound by a strong friendship return home after the war, but the clash with everyday reality puts a strain on their bond.",/zGGWYpiKNwjpKxelPxOMqJnUgDs.jpg,/2Kkqmy3EpXqBDqv1vvsNXX3pwww.jpg,1974-12-21,8.283,625,"['Drama', 'Comedy']",0,0,125
3082,tt0027977,Modern Times,"He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs, cries and thrills to his priceless genius!","A bumbling tramp desires to build a home with a young woman, yet is thwarted time and time again by his lack of experience and habit of being in the wrong place at the wrong time..",/7uoiKOEjxBBW0AgDGQWrlfGQ90w.jpg,/kSlO1pHpwQfPQdgVPr7dJiJNtJ8.jpg,1936-02-05,8.282,3925,"['Comedy', 'Drama', 'Romance']",1500000,1800000,87
335,tt0064116,Once Upon a Time in the West,There were three men in her life. One to take her… one to love her —and one to kill her.,"As the railroad builders advance unstoppably through the Arizona desert on their way to the sea, Jill arrives in the small town of Flagstone with the intention of starting a new life.",/qbYgqOczabWNn2XKwgMtVrntD6P.jpg,/aKZ9hDmLJTaGSxWdhxqMTcvXmk4.jpg,1968-12-21,8.281,4683,"['Drama', 'Western']",5000000,5380118,166
